"","V1","V2"
"399",208,7431
"400",208,5533
"401",208,5961
"402",209,7734
"403",209,8404
"404",212,5083
"405",212,5522
"406",212,5196
"407",212,8640
"408",212,4677
"409",212,7377
"410",214,8216
"411",214,8416
"412",215,8254
"413",217,8481
"414",217,5333
"415",217,7449
"416",217,8104
"417",217,6507
"418",217,7166
"419",217,5718
"420",217,6102
"421",217,8581
"422",217,5919
"423",217,6168
"424",217,7757
"425",217,5335
"426",217,5519
"427",217,6031
"428",217,6869
"429",217,5308
"430",217,4782
"431",217,5283
"432",218,6022
"433",218,5113
"434",218,7407
"435",218,5987
"436",218,6578
"437",218,5056
"438",218,7636
"439",218,6703
"440",218,5955
"441",218,7310
"442",218,7390
"443",218,5368
"444",218,6408
"445",218,7416
"446",218,6382
"447",218,6418
"448",219,7734
"449",222,6514
"450",222,7611
"451",222,7871
"452",222,7880
"453",222,8368
"454",222,7619
"455",222,5555
"456",224,6935
"457",224,7462
"458",224,5930
"459",226,8374
"460",226,8227
"461",228,7739
"462",228,5961
"463",228,6085
"464",228,5228
"465",228,5126
"466",229,5538
"467",229,5682
"468",229,4913
"469",229,4884
"470",229,5480
"471",229,4895
"472",229,4957
"473",229,4793
"474",229,4958
"475",229,4851
"476",229,5844
"477",229,5364
"478",230,7062
"479",230,6899
"480",230,8091
"481",230,8114
"482",235,5148
"483",235,5850
"484",235,7160
"485",235,5887
"486",235,7047
"487",235,5074
"488",235,5106
"489",235,6295
"490",235,5440
"491",235,7354
"492",235,6518
"493",235,6780
"494",236,8696
"495",236,8666
"496",236,8614
"497",241,6388
"498",241,6879
"499",243,6573
"500",246,8056
"501",246,8238
"502",246,8333
"503",248,8714
"504",248,8058
"505",248,8152
"506",251,7612
"507",251,5726
"508",252,5319
"509",252,7334
"510",252,6517
"511",254,7475
"512",254,6911
"513",254,8314
"514",257,5734
"515",258,7508
"516",258,6805
"517",258,7578
"518",259,7462
"519",259,6685
"520",259,5259
"521",262,8477
"522",262,7291
"523",262,7952
"524",262,5226
"525",262,5564
"526",262,7937
"527",262,6749
"528",262,5078
"529",262,7757
"530",262,7157
"531",262,6869
"532",262,5455
"533",262,6481
"534",262,6568
"535",262,5927
"536",262,4702
"537",262,5218
"538",262,4930
"539",264,7089
"540",265,8173
"541",265,8090
"542",267,8365
"543",267,7274
"544",267,7895
"545",268,7957
"546",268,7991
"547",268,5243
"548",269,7449
"549",269,8104
"550",269,8834
"551",269,8481
"552",269,5333
"553",269,5283
"554",271,8449
"555",272,7777
"556",273,8557
"557",273,8721
"558",274,7438
"559",274,6547
"560",275,7348
"561",275,8154
"562",275,8506
"563",275,7220
"564",275,7697
"565",275,6495
"566",275,8158
"567",277,5137
"568",277,5046
"569",277,6792
"570",277,6323
"571",277,4974
"572",277,4998
"573",277,5243
"574",280,7490
"575",280,6648
"576",283,8823
"577",285,5984
"578",285,5386
"579",285,5551
"580",285,5830
"581",285,4776
"582",285,6262
"583",285,5689
"584",285,5320
"585",285,5119
"586",285,5795
"587",285,7097
"588",285,5069
"589",285,5396
"590",285,7149
"591",285,4747
"592",285,6460
"593",285,5380
"594",285,5338
"595",285,5742
"596",285,5073
"597",285,7083
"598",285,5449
"599",285,5322
"600",285,6060
"601",292,5951
"602",292,6459
"603",292,6348
"604",292,5970
"605",292,8047
"606",292,5408
"607",292,7328
"608",292,7635
"609",292,6399
"610",292,5823
"611",292,5735
"612",293,8563
"613",294,7629
"614",294,6418
"615",294,6951
"616",294,7392
"617",296,8173
"618",298,8758
"619",298,8455
"620",298,8662
"621",299,7331
"622",299,7369
"623",299,6100
"624",299,5557
"625",299,7020
"626",299,7266
"627",299,5306
"628",299,7231
"629",299,4746
"630",299,7221
"631",299,7456
"632",299,6666
"633",299,5946
"634",299,6665
"635",299,7836
"636",299,5270
"637",299,6399
"638",301,7853
"639",301,6410
"640",301,7083
"641",302,7699
"642",304,7390
"643",304,6657
"644",304,7919
"645",304,5328
"646",304,5133
"647",304,6994
"648",305,6644
"649",305,7734
"650",307,8803
"651",307,8563
"652",307,8947
"653",307,8784
"654",307,9026
"655",308,5937
"656",308,5441
"657",308,7103
"658",308,6556
"659",308,6146
"660",308,6945
"661",308,6500
"662",308,6981
"663",308,7675
"664",308,7857
"665",311,7555
"666",314,8613
"667",314,7119
"668",316,6003
"669",316,5172
"670",316,6888
"671",317,7056
"672",317,8082
"673",317,8746
"674",319,7508
"675",319,7088
"676",319,5414
"677",319,7529
"678",319,7503
"679",319,5183
"680",319,6506
"681",319,5613
"682",319,6010
"683",320,8040
"684",323,8710
"685",324,5726
"686",324,6679
"687",324,8211
"688",324,6417
"689",326,7576
"690",328,7288
"691",328,7661
"692",328,7582
"693",328,7603
"694",328,7052
"695",328,6564
"696",329,7807
"697",329,5988
"698",332,7895
"699",337,4689
"700",337,4922
"701",337,5492
"702",337,4852
"703",337,4874
"704",337,5206
"705",337,4935
"706",337,4820
"707",337,4867
"708",337,5124
"709",337,4762
"710",337,4797
"711",337,7276
"712",337,4870
"713",337,4905
"714",337,6144
"715",337,7026
"716",338,6883
"717",338,6467
"718",338,6517
"719",338,7183
"720",338,5877
"721",338,6899
"722",338,5002
"723",338,5598
"724",338,7121
"725",338,5850
"726",339,6139
"727",340,7524
"728",340,8058
"729",340,7159
"730",340,8152
"731",340,6726
"732",340,7806
"733",344,4731
"734",344,5265
"735",344,4767
"736",344,4725
"737",344,4681
"738",344,5039
"739",344,4907
"740",344,4680
"741",344,4801
"742",344,4872
"743",344,5934
"744",344,4955
"745",344,4865
"746",344,4696
"747",344,4806
"748",344,5117
"749",344,6056
"750",344,5035
"751",344,4847
"752",344,4652
"753",344,5016
"754",346,7647
"755",346,5171
"756",346,7285
"757",348,8374
"758",348,8524
"759",348,8241
"760",349,6565
"761",349,5327
"762",349,5815
"763",349,7645
"764",351,6532
"765",351,6320
"766",351,5153
"767",351,7430
"768",353,7853
"769",357,7798
"770",357,7190
"771",357,7611
"772",357,6697
"773",360,7107
"774",360,8104
"775",360,5621
"776",360,4947
"777",361,6003
"778",361,5464
"779",361,5552
"780",361,5748
"781",364,8362
"782",364,8690
"783",367,5494
"784",367,5226
"785",367,4930
"786",367,4893
"787",367,7952
"788",367,5078
"789",367,5635
"790",367,4649
"791",367,6362
"792",367,5310
"793",367,5115
"794",367,5024
"795",367,5474
"796",367,6281
"797",367,5083
"798",367,5927
"799",373,7189
"800",373,5155
"801",373,7149
"802",373,6142
"803",373,5061
"804",376,4791
"805",376,4915
"806",376,4953
"807",376,5150
"808",376,4980
"809",376,4815
"810",376,7248
"811",376,4841
"812",376,5161
"813",376,5195
"814",376,4805
"815",376,5264
"816",376,4814
"817",376,7093
"818",376,4773
"819",376,5371
"820",376,5574
"821",376,5822
"822",376,6413
"823",376,5304
"824",376,4931
"825",376,7086
"826",376,4901
"827",376,5821
"828",376,8342
"829",376,7845
"830",376,7236
"831",377,8266
"832",378,8574
"833",379,6271
"834",379,6685
"835",379,6207
"836",379,7788
"837",379,7155
"838",379,7134
"839",379,5221
"840",379,7345
"841",380,8870
"842",380,8537
"843",382,5243
"844",382,5900
"845",382,6431
"846",383,8348
"847",383,8400
"848",383,7999
"849",383,8574
"850",384,5601
"851",384,5302
"852",386,8439
"853",386,8340
"854",386,8047
"855",386,6326
"856",387,8524
"857",388,8684
"858",391,6162
"859",392,6706
"860",392,5225
"861",392,5132
"862",392,6157
"863",392,5297
"864",392,5265
"865",392,5090
"866",392,7745
"867",392,5101
"868",392,5044
"869",392,5353
"870",392,4652
"871",392,4842
"872",392,6031
"873",392,4832
"874",392,6088
"875",392,4786
"876",392,4975
"877",392,7375
"878",392,5542
"879",392,5283
"880",392,6102
"881",394,4937
"882",394,5247
"883",394,5466
"884",394,5723
"885",395,5308
"886",396,6569
"887",396,8125
"888",402,5711
"889",402,7948
"890",402,7571
"891",402,6203
"892",402,7393
"893",402,7378
"894",403,7031
"895",403,8517
"896",403,6726
"897",403,7201
"898",403,8152
"899",403,6634
"900",404,7400
"901",404,8567
"902",404,7654
"903",407,7157
"904",407,4702
"905",407,6362
"906",407,7841
"907",407,7051
"908",407,5635
"909",407,5078
"910",407,5234
"911",407,6051
"912",407,8105
"913",407,5474
"914",407,6869
"915",407,5455
"916",407,7952
"917",408,5865
"918",408,6147
"919",408,5526
"920",408,5891
"921",408,5368
"922",408,7310
"923",408,5955
"924",408,6573
"925",409,5984
"926",409,5187
"927",409,6846
"928",409,5320
"929",409,7097
"930",409,5069
"931",409,5816
"932",410,7146
"933",410,7331
"934",411,8250
"935",412,7813
"936",412,6319
"937",414,6916
"938",415,6506
"939",415,6733
"940",417,7646
"941",417,6123
"942",417,7981
"943",417,7000
"944",419,7057
"945",419,8127
"946",419,7749
"947",420,7404
"948",420,7921
"949",424,6877
"950",426,5658
"951",427,8614
"952",428,7812
"953",429,7314
"954",431,5350
"955",435,7163
"956",435,7396
"957",435,8063
"958",436,7019
"959",437,6038
"960",437,7773
"961",437,7481
"962",439,7501
"963",439,7029
"964",441,7930
"965",441,6878
"966",443,7012
"967",443,6694
"968",444,5194
"969",444,5378
"970",444,5244
"971",445,4807
"972",447,7058
"973",449,6537
"974",449,6322
"975",449,6065
"976",449,7103
"977",454,6467
"978",454,6586
"979",455,7903
"980",455,7599
"981",457,7386
"982",457,7057
"983",459,8689
"984",459,8140
"985",459,6949
"986",460,5753
"987",460,5445
"988",460,5172
"989",460,7418
"990",463,5123
"991",463,8362
"992",463,6473
"993",463,7942
"994",465,7728
"995",466,7806
"996",466,6238
"997",468,7900
"998",469,5907
"999",469,5803
"1000",469,5363
"1001",469,5009
"1002",469,4836
"1003",469,5194
"1004",469,5541
"1005",469,7362
"1006",469,6621
"1007",469,8801
"1008",469,5329
"1009",469,4923
"1010",469,5053
"1011",469,7792
"1012",469,5299
"1013",473,8675
"1014",473,8325
"1015",474,8333
"1016",479,7748
"1017",479,5600
"1018",479,7689
"1019",479,6232
"1020",479,7788
"1021",479,5985
"1022",479,5795
"1023",479,6635
"1024",479,7097
"1025",479,7456
"1026",479,8199
"1027",479,8017
"1028",480,5576
"1029",482,8228
"1030",482,8531
"1031",486,8224
"1032",486,8759
"1033",487,8468
"1034",487,6684
"1035",487,5584
"1036",487,7053
"1037",487,6575
"1038",487,7602
"1039",487,6701
"1040",487,5739
"1041",487,6077
"1042",487,7719
"1043",488,8309
"1044",488,5048
"1045",490,6956
"1046",490,6026
"1047",490,7629
"1048",490,7404
"1049",490,6556
"1050",490,6176
"1051",490,6087
"1052",490,5520
"1053",490,7566
"1054",490,7672
"1055",490,7921
"1056",491,7954
"1057",491,7304
"1058",492,7202
"1059",492,6888
"1060",493,7765
"1061",493,7635
"1062",493,7181
"1063",493,7155
"1064",494,8079
"1065",494,8177
"1066",496,7489
"1067",497,4824
"1068",497,8255
"1069",497,5626
"1070",497,4968
"1071",498,5123
"1072",498,8411
"1073",500,8614
"1074",500,8613
"1075",503,8758
"1076",504,5330
"1077",504,4723
"1078",504,4733
"1079",504,6574
"1080",504,5718
"1081",504,5622
"1082",504,4742
"1083",504,5308
"1084",504,5310
"1085",504,6481
"1086",504,4859
"1087",504,5083
"1088",504,4670
"1089",504,4961
"1090",504,4695
"1091",504,5288
"1092",504,4668
"1093",504,5413
"1094",504,7449
"1095",504,5335
"1096",504,5635
"1097",507,6293
"1098",507,6571
"1099",507,8281
"1100",507,7779
"1101",507,6240
"1102",507,7019
"1103",507,6098
"1104",507,5602
"1105",507,5582
"1106",507,8153
"1107",514,8421
"1108",514,8698
"1109",514,8772
"1110",518,7749
"1111",521,8355
"1112",522,8853
"1113",522,8772
"1114",522,8869
"1115",522,8312
