,V1,V2
484,112,2767
485,112,716
486,112,1536
487,112,3095
488,113,113
489,113,1551
490,113,2929
491,113,3253
492,113,1553
493,113,1443
494,114,114
495,114,1453
496,114,1787
497,114,1956
498,114,4004
499,114,4104
500,115,115
501,115,1140
502,116,116
503,116,3883
504,116,2173
505,117,117
506,117,1863
507,117,3006
508,117,975
509,117,1445
510,117,541
511,117,529
512,117,4172
513,117,1908
514,118,118
515,118,721
516,118,2657
517,118,3265
518,119,119
519,119,4544
520,119,3788
521,119,1989
522,119,646
523,120,120
524,120,2059
525,120,247
526,120,2145
527,120,1116
528,121,121
529,121,1999
530,122,122
531,122,3195
532,122,768
533,122,3715
534,123,123
535,123,60
536,123,1171
537,123,2316
538,124,124
539,124,2102
540,124,1555
541,124,110
542,124,1751
543,125,125
544,125,1103
545,125,2717
546,125,1624
547,125,1722
548,126,126
549,126,1709
550,127,127
551,128,128
552,128,3898
553,129,129
554,129,3911
555,130,130
556,130,4329
557,130,4562
558,130,3258
559,130,2453
560,131,131
561,131,64
562,131,3394
563,131,4175
564,131,573
565,131,474
566,131,4354
567,131,3639
568,132,132
569,132,3514
570,132,3677
571,132,965
572,133,133
573,133,2236
574,133,1357
575,133,1358
576,134,134
577,135,135
578,135,4456
579,135,4515
580,135,3780
581,136,136
582,137,137
583,137,1990
584,137,1450
585,137,3541
586,138,138
587,138,3984
588,138,4617
589,138,1399
590,138,790
591,139,139
592,139,1558
593,140,140
594,140,4537
595,141,141
596,142,142
597,142,545
598,142,4407
599,142,4340
600,142,1067
601,142,4030
602,142,3194
603,142,1371
604,142,1208
605,143,143
606,143,2542
607,143,3320
608,143,4268
609,143,2967
610,143,146
611,143,1618
612,143,1217
613,143,1249
614,144,144
615,144,4543
616,144,3895
617,144,1125
618,144,2449
619,145,145
620,145,79
621,145,3991
622,145,4148
623,145,3637
624,145,102
625,145,838
626,145,329
627,145,3324
628,146,146
629,146,728
630,146,626
631,146,2378
632,146,143
633,146,3261
634,147,147
635,147,3456
636,147,3092
637,147,3785
638,147,3624
639,147,1571
640,147,3588
641,147,4049
642,147,3053
643,148,148
644,148,2810
645,148,605
646,148,3827
647,148,464
648,149,149
649,149,2915
650,149,2974
651,149,3480
