"","V1","V2"
"399",182,4830
"400",182,4713
"401",182,4725
"402",182,4706
"403",182,4995
"404",182,5173
"405",182,4918
"406",182,5040
"407",182,5117
"408",182,6423
"409",182,4949
"410",182,4722
"411",182,5807
"412",182,4767
"413",183,8249
"414",186,6272
"415",188,5900
"416",193,7475
"417",193,7681
"418",193,8315
"419",193,8314
"420",193,6895
"421",195,5713
"422",195,7266
"423",195,7469
"424",195,6742
"425",199,8653
"426",201,6190
"427",201,6288
"428",202,7291
"429",202,5635
"430",202,6481
"431",202,8505
"432",202,8105
"433",202,5310
"434",202,6507
"435",202,4702
"436",202,8477
"437",202,6362
"438",202,7051
"439",202,5234
"440",202,7841
"441",202,6869
"442",202,7937
"443",202,7157
"444",202,5455
"445",202,5718
"446",203,8086
"447",203,7688
"448",203,7212
"449",203,7562
"450",203,7622
"451",203,8192
"452",203,7057
"453",203,6074
"454",203,5837
"455",203,8746
"456",203,8064
"457",204,7261
"458",204,7012
"459",205,4679
"460",206,8192
"461",206,8471
"462",206,8176
"463",206,8252
"464",206,8315
"465",206,8064
"466",208,6454
"467",208,7619
"468",208,7431
"469",208,5533
"470",208,5961
"471",209,7734
"472",209,8404
"473",212,5083
"474",212,5522
"475",212,5196
"476",212,8640
"477",212,4677
"478",212,7377
"479",214,8216
"480",214,8416
"481",215,8254
"482",217,8481
"483",217,5333
"484",217,7449
"485",217,8104
"486",217,6507
"487",217,7166
"488",217,5718
"489",217,6102
"490",217,8581
"491",217,5919
"492",217,6168
"493",217,7757
"494",217,5335
"495",217,5519
"496",217,6031
"497",217,6869
"498",217,5308
"499",217,4782
"500",217,5283
"501",218,6022
"502",218,5113
"503",218,7407
"504",218,5987
"505",218,6578
"506",218,5056
"507",218,7636
"508",218,6703
"509",218,5955
"510",218,7310
"511",218,7390
"512",218,5368
"513",218,6408
"514",218,7416
"515",218,6382
"516",218,6418
"517",219,7734
"518",219,5250
"519",219,6257
"520",219,7898
"521",220,5796
"522",222,6514
"523",222,7611
"524",222,7871
"525",222,7880
"526",222,8368
"527",222,7619
"528",222,5555
"529",224,6935
"530",224,7462
"531",224,5930
"532",226,8374
"533",226,8227
"534",228,7739
"535",228,5961
"536",228,6085
"537",228,5228
"538",228,5126
"539",229,5538
"540",229,5682
"541",229,4913
"542",229,4904
"543",229,4884
"544",229,5480
"545",229,4895
"546",229,4957
"547",229,4793
"548",229,4705
"549",229,4958
"550",229,4851
"551",229,5844
"552",229,5364
"553",230,7062
"554",230,6899
"555",230,7003
"556",230,8091
"557",230,8114
"558",235,5148
"559",235,5850
"560",235,7160
"561",235,5887
"562",235,7047
"563",235,5074
"564",235,5106
"565",235,6295
"566",235,5440
"567",235,7354
"568",235,6518
"569",235,6780
"570",236,8696
"571",236,8666
"572",236,8614
"573",236,7885
"574",241,6388
"575",241,6249
"576",241,6879
"577",243,6573
"578",243,5879
"579",246,6292
"580",246,6744
"581",246,8056
"582",246,8238
"583",246,5892
"584",246,8495
"585",246,8333
"586",248,8714
"587",248,8058
"588",248,8152
"589",248,8501
"590",248,8081
"591",248,7859
"592",248,7615
"593",251,7612
"594",251,5726
"595",252,5319
"596",252,7334
"597",252,6517
"598",254,7475
"599",254,6911
"600",254,8314
"601",257,5734
"602",258,7508
"603",258,6805
"604",258,7578
"605",259,7462
"606",259,6685
"607",259,5259
"608",262,8477
"609",262,7291
"610",262,7952
"611",262,5226
"612",262,5564
"613",262,7937
"614",262,6749
"615",262,5078
"616",262,7757
"617",262,7157
"618",262,6869
"619",262,5455
"620",262,6481
"621",262,6568
"622",262,5927
"623",262,4702
"624",262,5218
"625",262,4930
"626",264,7089
"627",265,8173
"628",265,8090
"629",267,8365
"630",267,7274
"631",267,7895
"632",268,7957
"633",268,7991
"634",268,8263
"635",268,5243
"636",269,7449
"637",269,8104
"638",269,8834
"639",269,8481
"640",269,5333
"641",269,5283
"642",271,8449
"643",272,7777
"644",273,8557
"645",273,8721
"646",274,7438
"647",274,6547
"648",275,7348
"649",275,8154
"650",275,8506
"651",275,7220
"652",275,7697
"653",275,6495
"654",275,8158
"655",277,5137
"656",277,5046
"657",277,6792
"658",277,6323
"659",277,4974
"660",277,4998
"661",277,5243
"662",280,7490
"663",280,6648
"664",283,8823
"665",285,5984
"666",285,5386
"667",285,5551
"668",285,5830
"669",285,4776
"670",285,6262
"671",285,5689
"672",285,5320
"673",285,5119
"674",285,5795
"675",285,7097
"676",285,5069
"677",285,5396
"678",285,7149
"679",285,4747
"680",285,6460
"681",285,5380
"682",285,5338
"683",285,5742
"684",285,5073
"685",285,7083
"686",285,5449
"687",285,5322
"688",285,6060
"689",292,5951
"690",292,6459
"691",292,6348
"692",292,5970
"693",292,8047
"694",292,5408
"695",292,7328
"696",292,7635
"697",292,6399
"698",292,5823
"699",292,5735
"700",293,8563
"701",294,7629
"702",294,6418
"703",294,6951
"704",294,7392
"705",295,6202
"706",296,8173
"707",298,8706
"708",298,8758
"709",298,8455
"710",298,9072
"711",298,8662
"712",299,7331
"713",299,7369
"714",299,6100
"715",299,5557
"716",299,7020
"717",299,7266
"718",299,5306
"719",299,7231
"720",299,4746
"721",299,7221
"722",299,7456
"723",299,6666
"724",299,5946
"725",299,6665
"726",299,7836
"727",299,5270
"728",299,6399
"729",301,7853
"730",301,6410
"731",301,7083
"732",302,7699
"733",304,7390
"734",304,6657
"735",304,7919
"736",304,5328
"737",304,5133
"738",304,6994
"739",305,8489
"740",305,7859
"741",305,6644
"742",305,6770
"743",305,8457
"744",305,7615
"745",305,7734
"746",305,7016
"747",305,6508
"748",307,8995
"749",307,8803
"750",307,8563
"751",307,8947
"752",307,8915
"753",307,8784
"754",307,9026
"755",308,5937
"756",308,5441
"757",308,7103
"758",308,6556
"759",308,6146
"760",308,6945
"761",308,6500
"762",308,6981
"763",308,7675
"764",308,7857
"765",311,7555
"766",314,8613
"767",314,7119
"768",314,6659
"769",316,6003
"770",316,5172
"771",316,6888
"772",317,6859
"773",317,7056
"774",317,8082
"775",317,8746
"776",319,7508
"777",319,7088
"778",319,5414
"779",319,7529
"780",319,7503
"781",319,5183
"782",319,6506
"783",319,5613
"784",319,6010
"785",320,8040
"786",323,8710
"787",324,5726
"788",324,6679
"789",324,8211
"790",324,6417
"791",326,7576
"792",328,7288
"793",328,7661
"794",328,7582
"795",328,7603
"796",328,7052
"797",328,6564
"798",329,7807
"799",329,5988
"800",332,7895
"801",336,4978
"802",337,4689
"803",337,4922
"804",337,5492
"805",337,4852
"806",337,4874
"807",337,5206
"808",337,4935
"809",337,4820
"810",337,4867
"811",337,5124
"812",337,4762
"813",337,4797
